author_yr,season,Subspecies,data type,sympatric_ungulates,lichen,vascular,graminoid,Npp
Larter and Nagy 1997,3-Autumn,1-Peary,fecal,1,2.22,66.73,19.155,498.823623477849
Larter and Nagy 1997,2-Summer,1-Peary,fecal,1,0,58.47,19.76,498.823623477849
Larter and Nagy 1997,5-Spring,1-Peary,fecal,1,0.94,22.986666667,36.69333333,498.823623477849
Larter and Nagy 1997,4-Winter,1-Peary,fecal,1,1.34,33.6,33.33333333,498.823623477849
Larter and Nagy 1997,5-Spring,1-Peary,fecal,1,1.21,56.65,13.1,498.823623477849
Thomas and Edmonds 1983,5-Spring,1-Peary,rumen,1,2,0,57,148.952062516828
Thomas and Edmonds 1983,5-Spring,1-Peary,rumen,1,10,2,15,1195.49880917332
Thomas and Edmonds 1983,5-Spring,1-Peary,rumen,1,11,6,47,257.827914601067
Thomas and Edmonds 1983,5-Spring,1-Peary,rumen,1,4,29,40,258.495374335406
Thomas and Edmonds 1983,5-Spring,1-Peary,rumen,1,15,46,20,272.028673130257
Larter and Nagy 2004,2-Summer,1-Peary,fecal,1,0,86.8,4.7,603.152446802125
Larter and Nagy 2004,5-Spring,1-Peary,fecal,1,0,41.9,9,603.152446802125
Larter and Nagy 2004,5-Spring,1-Peary,fecal,1,0,43.9,13.6,603.152446802125
Larter and Nagy 2004,2-Summer,1-Peary,fecal,1,0,63.9,15.3,603.152446802125
Larter and Nagy 2004,3-Autumn,1-Peary,fecal,1,0,41.9,18.8,603.152446802125
Larter and Nagy 2004,4-Winter,1-Peary,fecal,1,10.9,44.4,20.2,603.152446802125
Larter and Nagy 2004,1-Calving,1-Peary,fecal,1,0,54.3,23,603.152446802125
Larter and Nagy 2004,4-Winter,1-Peary,fecal,1,0,23.4,23,603.152446802125
Larter and Nagy 2004,3-Autumn,1-Peary,fecal,1,0,38,25.9,603.152446802125
Larter and Nagy 2004,4-Winter,1-Peary,fecal,1,0,21.2,26.3,603.152446802125
Larter and Nagy 2004,3-Autumn,1-Peary,fecal,1,0,31.5,28.4,603.152446802125
Larter and Nagy 2004,4-Winter,1-Peary,fecal,1,0,32.8,29.2,603.152446802125
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,75,7,5,1255.68844027526
Thomas and Hervieux 1986,4-Winter,2-Barren Ground,rumen,1,68.5,17.1,,3022.8193991651
Thompson and McCourt 1981,1-Calving,2-Barren Ground,fecal,2,0,98.8,0.1,
Thompson and McCourt 1981,2-Summer,2-Barren Ground,fecal,2,1.9,95.7,1,
Thompson and McCourt 1981,2-Summer,2-Barren Ground,fecal,2,68.5,20.7,1.6,
Thompson and McCourt 1981,3-Autumn,2-Barren Ground,fecal,2,59.1,0.7,1.9,
Thompson and McCourt 1981,4-Winter,2-Barren Ground,fecal,2,66.7,1.2,3.2,
Thompson and McCourt 1981,5-Spring,2-Barren Ground,fecal,2,37.3,0.2,55.5,
Thompson and McCourt 1981,1-Calving,2-Barren Ground,fecal,2,13.2,0.7,77.6,
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,3,61,7,9,1896.03601331202
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,3,76,8,6,1896.03601331202
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,3,47,23,7,1896.03601331202
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,3,61,7,9,1896.03601331202
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,3,76,9,6,1896.03601331202
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,3,47,23,7,1896.03601331202
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,53,20,10,1814.97485921018
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,90,5,1,580.746490162538
Boertje 1984,5-Spring,2-Barren Ground,fecal,6,38,52,7,1811.96888150945
Boertje 1984,4-Winter,2-Barren Ground,fecal,6,66,11,4,1811.96888150945
Boertje 1984,3-Autumn,2-Barren Ground,fecal,6,68,11,4,1811.96888150945
Boertje 1984,2-Summer,2-Barren Ground,fecal,6,28,58,5,1811.96888150945
Barten et al 2001,2-Summer,2-Barren Ground,fecal,5,20,45,15,1709.67712675384
Joly and Cameron 2018,3-Autumn,2-Barren Ground,fecal,3,65.9,16.3,4.2,2495.79599074696
Joly and Cameron 2018,4-Winter,2-Barren Ground,fecal,3,70.8,15.1,6.7,2495.79599074696
Joly et al 2015,4-Winter,2-Barren Ground,fecal,3,72.8,9.3,5.8,2495.79599074696
Joly et al 2015,4-Winter,2-Barren Ground,fecal,3,72.5,9.4,5.2,2495.79599074696
Joly et al 2015,4-Winter,2-Barren Ground,fecal,3,68.4,11.1,6.3,2495.79599074696
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,2,68,15,5,2569.16372210084
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,1,60,18,7,2569.16372210084
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,1,77,11,6,2569.16372210084
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,68,15,5,2569.16372210084
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,60,19,7,2569.16372210084
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,1,77,11,6,2569.16372210084
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,2,77,5,5,2109.43581209238
Gustine et al. 2012,4-Winter,2-Barren Ground,fecal,2,54,15,15,2109.43581209238
